Scan,Scan_20201202_185214.csv
Mode,ABS
Lower,400
Upper,650
Length,251
,,
wavelength(nm) , ABS , %T
400.0,0.241,57.41
401.0,0.242,57.28
402.0,0.243,57.15
403.0,0.244,57.02
404.0,0.246,56.75
405.0,0.249,56.36
406.0,0.251,56.10
407.0,0.254,55.72
408.0,0.257,55.34
409.0,0.261,54.83
410.0,0.265,54.33
411.0,0.269,53.83
412.0,0.273,53.33
413.0,0.277,52.84
414.0,0.282,52.24
415.0,0.287,51.64
416.0,0.292,51.05
417.0,0.297,50.47
418.0,0.302,49.89
419.0,0.307,49.32
420.0,0.314,48.53
421.0,0.319,47.97
422.0,0.325,47.32
423.0,0.331,46.67
424.0,0.337,46.03
425.0,0.342,45.50
426.0,0.348,44.87
427.0,0.353,44.36
428.0,0.360,43.65
429.0,0.366,43.05
430.0,0.371,42.56
431.0,0.376,42.07
432.0,0.382,41.50
433.0,0.388,40.93
434.0,0.394,40.36
435.0,0.400,39.81
436.0,0.406,39.26
437.0,0.411,38.82
438.0,0.416,38.37
439.0,0.422,37.84
440.0,0.428,37.33
441.0,0.433,36.90
442.0,0.438,36.48
443.0,0.444,35.97
444.0,0.449,35.56
445.0,0.455,35.08
446.0,0.460,34.67
447.0,0.465,34.28
448.0,0.470,33.88
449.0,0.476,33.42
450.0,0.481,33.04
451.0,0.487,32.58
452.0,0.492,32.21
453.0,0.496,31.92
454.0,0.501,31.55
455.0,0.506,31.19
456.0,0.511,30.83
457.0,0.516,30.48
458.0,0.520,30.20
459.0,0.525,29.85
460.0,0.530,29.51
461.0,0.534,29.24
462.0,0.538,28.97
463.0,0.543,28.64
464.0,0.547,28.38
465.0,0.550,28.18
466.0,0.554,27.93
467.0,0.558,27.67
468.0,0.561,27.48
469.0,0.565,27.23
470.0,0.568,27.04
471.0,0.570,26.92
472.0,0.573,26.73
473.0,0.576,26.55
474.0,0.578,26.42
475.0,0.580,26.30
476.0,0.581,26.24
477.0,0.583,26.12
478.0,0.584,26.06
479.0,0.585,26.00
480.0,0.586,25.94
481.0,0.586,25.94
482.0,0.586,25.94
483.0,0.586,25.94
484.0,0.585,26.00
485.0,0.584,26.06
486.0,0.583,26.12
487.0,0.582,26.18
488.0,0.580,26.30
489.0,0.578,26.42
490.0,0.576,26.55
491.0,0.573,26.73
492.0,0.570,26.92
493.0,0.567,27.10
494.0,0.563,27.35
495.0,0.560,27.54
496.0,0.556,27.80
497.0,0.551,28.12
498.0,0.546,28.44
499.0,0.542,28.71
500.0,0.535,29.17
501.0,0.530,29.51
502.0,0.524,29.92
503.0,0.518,30.34
504.0,0.512,30.76
505.0,0.506,31.19
506.0,0.500,31.62
507.0,0.494,32.06
508.0,0.487,32.58
509.0,0.480,33.11
510.0,0.474,33.57
511.0,0.467,34.12
512.0,0.460,34.67
513.0,0.454,35.16
514.0,0.446,35.81
515.0,0.439,36.39
516.0,0.433,36.90
517.0,0.427,37.41
518.0,0.421,37.93
519.0,0.415,38.46
520.0,0.407,39.17
521.0,0.401,39.72
522.0,0.396,40.18
523.0,0.390,40.74
524.0,0.384,41.30
525.0,0.378,41.88
526.0,0.372,42.46
527.0,0.367,42.95
528.0,0.361,43.55
529.0,0.356,44.06
530.0,0.351,44.57
531.0,0.344,45.29
532.0,0.338,45.92
533.0,0.333,46.45
534.0,0.327,47.10
535.0,0.322,47.64
536.0,0.317,48.19
537.0,0.310,48.98
538.0,0.303,49.77
539.0,0.298,50.35
540.0,0.292,51.05
541.0,0.287,51.64
542.0,0.280,52.48
543.0,0.274,53.21
544.0,0.268,53.95
545.0,0.262,54.70
546.0,0.256,55.46
547.0,0.250,56.23
548.0,0.243,57.15
549.0,0.236,58.08
550.0,0.230,58.88
551.0,0.224,59.70
552.0,0.217,60.67
553.0,0.211,61.52
554.0,0.204,62.52
555.0,0.198,63.39
556.0,0.192,64.27
557.0,0.185,65.31
558.0,0.179,66.22
559.0,0.173,67.14
560.0,0.166,68.23
561.0,0.161,69.02
562.0,0.155,69.98
563.0,0.149,70.96
564.0,0.144,71.78
565.0,0.138,72.78
566.0,0.132,73.79
567.0,0.127,74.64
568.0,0.122,75.51
569.0,0.117,76.38
570.0,0.112,77.27
571.0,0.106,78.34
572.0,0.101,79.25
573.0,0.097,79.98
574.0,0.092,80.91
575.0,0.088,81.66
576.0,0.083,82.60
577.0,0.079,83.37
578.0,0.075,84.14
579.0,0.071,84.92
580.0,0.068,85.51
581.0,0.064,86.30
582.0,0.060,87.10
583.0,0.057,87.70
584.0,0.054,88.31
585.0,0.051,88.92
586.0,0.048,89.54
587.0,0.045,90.16
588.0,0.042,90.78
589.0,0.040,91.20
590.0,0.037,91.83
591.0,0.035,92.26
592.0,0.032,92.90
593.0,0.030,93.33
594.0,0.028,93.76
595.0,0.026,94.19
596.0,0.025,94.41
597.0,0.023,94.84
598.0,0.021,95.28
599.0,0.020,95.50
600.0,0.018,95.94
601.0,0.018,95.94
602.0,0.016,96.38
603.0,0.015,96.61
604.0,0.014,96.83
605.0,0.013,97.05
606.0,0.012,97.27
607.0,0.011,97.50
608.0,0.011,97.50
609.0,0.010,97.72
610.0,0.010,97.72
611.0,0.009,97.95
612.0,0.008,98.17
613.0,0.007,98.40
614.0,0.007,98.40
615.0,0.007,98.40
616.0,0.006,98.63
617.0,0.006,98.63
618.0,0.006,98.63
619.0,0.005,98.86
620.0,0.005,98.86
621.0,0.005,98.86
622.0,0.005,98.86
623.0,0.004,99.08
624.0,0.004,99.08
625.0,0.004,99.08
626.0,0.004,99.08
627.0,0.003,99.31
628.0,0.003,99.31
629.0,0.003,99.31
630.0,0.003,99.31
631.0,0.003,99.31
632.0,0.003,99.31
633.0,0.003,99.31
634.0,0.003,99.31
635.0,0.003,99.31
636.0,0.003,99.31
637.0,0.003,99.31
638.0,0.003,99.31
639.0,0.003,99.31
640.0,0.003,99.31
641.0,0.002,99.54
642.0,0.003,99.31
643.0,0.003,99.31
644.0,0.003,99.31
645.0,0.002,99.54
646.0,0.002,99.54
647.0,0.002,99.54
648.0,0.003,99.31
649.0,0.002,99.54
650.0,0.002,99.54
